教5.日間學制生師比-以「校」統計,,,,,,,
學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間學制學生數,日間專任教師(含助教),日間生師比(%)
107,私立,一般大學,1028,臺北醫學大學,5872,616,9.53
107,私立,一般大學,1029,中山醫學大學,6782,412,16.46
107,私立,技專校院,1030,龍華科技大學,7321,249,29.40
107,私立,技專校院,1031,輔英科技大學,8074,328,24.62
107,私立,技專校院,1032,明新學校財團法人明新科技大學,8615,363,23.73
107,私立,一般大學,1033,長榮大學,8626,334,25.83
107,私立,技專校院,1034,弘光科技大學,8536,352,24.25
107,私立,一般大學,1035,中國醫藥大學,7313,495,14.77
107,私立,技專校院,1036,健行學校財團法人健行科技大學,7550,284,26.58
107,私立,技專校院,1037,正修學校財團法人正修科技大學,9386,415,22.62
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,6414,228,28.13
107,私立,一般大學,1039,玄奘大學,3154,111,28.41
107,私立,技專校院,1040,建國科技大學,5373,247,21.75
107,私立,技專校院,1041,明志科技大學,4040,192,21.04
107,私立,技專校院,1042,高苑科技大學,3165,225,14.07
107,私立,技專校院,1043,大仁科技大學,4304,193,22.30
107,私立,技專校院,1044,聖約翰科技大學,3446,175,19.69
107,私立,技專校院,1045,嶺東科技大學,7511,259,29
107,私立,技專校院,1046,中國科技大學,8133,289,28.14
107,私立,技專校院,1047,中臺科技大學,5764,259,22.25
107,私立,一般大學,1048,亞洲大學,10408,384,27.10
107,私立,一般大學,1049,開南大學,5359,225,23.82
107,私立,一般大學,1050,佛光大學,3521,173,20.35
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,9841,330,29.82
107,私立,技專校院,1052,遠東科技大學,4769,209,22.82
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,4717,201,23.47
107,私立,技專校院,1054,景文科技大學,5234,189,27.69
107,私立,技專校院,1055,中華醫事科技大學,7700,270,28.52
107,私立,技專校院,1056,東南科技大學,5342,192,27.82
107,私立,技專校院,1057,德明財經科技大學,7290,227,32.11
107,私立,一般大學,1058,明道學校財團法人明道大學,3027,123,24.61
107,私立,技專校院,1060,南開科技大學,3871,180,21.51
107,私立,技專校院,1061,中華學校財團法人中華科技大學,4571,206,22.19
107,私立,技專校院,1062,僑光科技大學,6581,224,29.38
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,2629,110,23.90
107,私立,技專校院,1064,美和學校財團法人美和科技大學,5524,229,24.12
107,私立,技專校院,1065,吳鳳科技大學,3452,153,22.56
107,私立,技專校院,1066,環球學校財團法人環球科技大學,3159,159,19.87
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,1825,90,20.28
107,私立,技專校院,1068,中州學校財團法人中州科技大學,1517,104,14.59
107,私立,技專校院,1069,修平學校財團法人修平科技大學,3803,185,20.56
