學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,校舍總樓地板面積,校地面積總計,可使用校地小計,可使用校地校舍基地,可使用校地露天運動場地,可使用校地其他校地,無法使用校地
106,公立,一般大學,0001,國立政治大學,臺北市,400806,1093284,1074092,89646,70032,914414,19192
106,公立,一般大學,0002,國立清華大學,新竹市,630185,1035948,1035948,139494,48113,848341,0
106,公立,一般大學,0002,國立清華大學,新竹縣,0,101134,0,0,0,0,101134
106,公立,一般大學,0002,國立清華大學,臺北市,2149,1983,1983,1176,0,807,0
106,公立,一般大學,0003,國立臺灣大學,臺北市,1280044,1368284,1368284,471921,33529,862834,0
106,公立,一般大學,0004,國立臺灣師範大學,新北市,91567,309307,309307,25578,38552,245177,0
106,公立,一般大學,0004,國立臺灣師範大學,臺北市,340505,223645,223645,112097,55314,56234,0
106,公立,一般大學,0005,國立成功大學,臺南市,891682,1855748,1855748,238668,45345,1571735,0
106,公立,一般大學,0006,國立中興大學,臺中市,533648,531525,531525,100470,30909,400146,0
106,公立,一般大學,0007,國立交通大學,新竹市,516192,770103,770103,102958,97928,569217,0
106,公立,一般大學,0007,國立交通大學,新竹縣,10338,25001,25001,3477,0,21524,0
106,公立,一般大學,0007,國立交通大學,臺北市,3477,1793,1793,1172,0,621,0
106,公立,一般大學,0007,國立交通大學,臺南市,21098,81991,81991,3752,550,77689,0
106,公立,一般大學,0008,國立中央大學,宜蘭縣,0,19,19,0,0,19,0
106,公立,一般大學,0008,國立中央大學,南投縣,496,930,930,195,0,735,0
106,公立,一般大學,0008,國立中央大學,屏東縣,0,15,15,0,0,15,0
106,公立,一般大學,0008,國立中央大學,桃園市,421646,614934,614934,102617,22143,490174,0
106,公立,一般大學,0008,國立中央大學,基隆市,0,15,15,0,0,15,0
106,公立,一般大學,0008,國立中央大學,新北市,0,104,104,0,0,104,0
106,公立,一般大學,0008,國立中央大學,新竹縣,0,15,15,0,0,15,0
106,公立,一般大學,0008,國立中央大學,嘉義縣,165,949,949,134,0,815,0
106,公立,一般大學,0008,國立中央大學,臺北市,0,30,30,0,0,30,0
106,公立,一般大學,0008,國立中央大學,臺東縣,0,15,15,0,0,15,0
106,公立,一般大學,0009,國立中山大學,高雄市,334953,734097,289469,64530,70000,154939,444628
106,公立,一般大學,0012,國立臺灣海洋大學,基隆市,206412,328675,242253,53299,15383,173571,86422
106,公立,一般大學,0013,國立中正大學,嘉義市,2352,1300,1300,618,0,682,0
106,公立,一般大學,0013,國立中正大學,嘉義縣,495098,1305956,1305956,121975,12738,1171243,0
106,公立,一般大學,0013,國立中正大學,臺北市,373,33,33,33,0,0,0
106,公立,一般大學,0014,國立高雄師範大學,高雄市,231934,646564,646564,130740,33837,481987,0
106,公立,一般大學,0015,國立彰化師範大學,彰化縣,218765,516254,516254,45863,33647,436744,0
106,公立,一般大學,0015,國立彰化師範大學,臺中市,577,517,517,283,0,234,0
106,公立,一般大學,0016,國立陽明大學,臺北市,220973,499665,499665,41918,28740,429007,0
106,公立,一般大學,0017,國立臺北大學,新北市,220359,545284,545284,28940,23158,493186,0
