年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,全校總經費(單位：元),學校承接計畫經費(單位：元)-小計,學校承接計畫經費(單位：元)-政府部門資助,學校承接計畫經費(單位：元)-企業部門資助,學校承接計畫經費(單位：元)-其他單位資助,承接計畫總經費佔全校總經費比率(%),專任教師每師平均承接計畫總經費(單位：元)
105,私立,技專校院,1044,聖約翰科技大學,194,706404884,74737303,65231171,6555692,2950440,10.58,385243.83
105,私立,技專校院,1045,嶺東科技大學,268,1184799608,91374091,70713944,17921147,2739000,7.71,340948.10
105,私立,技專校院,1046,中國科技大學,312,1385538991,127617666,115995868,3925222,7696576,9.21,409030.98
105,私立,技專校院,1047,中臺科技大學,263,1079026280,124591328,115912642,3479936,5198750,11.55,473731.29
105,私立,一般大學,1048,亞洲大學,395,1918265942,366472751,320136079,22946210,23390462,19.10,927779.12
105,私立,一般大學,1049,開南大學,272,1014467510,45713196,36242331,2027200,7443665,4.51,168063.22
105,私立,一般大學,1050,佛光大學,175,748586157,83121209,77661189,3810020,1650000,11.10,474978.34
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,330,1479346054,130894418,102389940,20169165,8335313,8.85,396649.75
105,私立,技專校院,1052,遠東科技大學,243,1074339424,222152531,178002782,39551629,4598120,20.68,914207.95
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,221,898803287,79829468,66824051,9139203,3866214,8.88,361219.31
105,私立,技專校院,1054,景文科技大學,230,868011026,123906638,85149230,27947746,10809662,14.27,538724.51
105,私立,技專校院,1055,中華醫事科技大學,296,1014950903,43517719,23569603,11405100,8543016,4.29,147019.32
105,私立,技專校院,1056,東南科技大學,223,850394435,66759127,52594372,12034635,2130120,7.85,299368.28
105,私立,技專校院,1057,德明財經科技大學,240,1089441091,106767893,61241957,30388263,15137673,9.80,444866.22
105,私立,一般大學,1058,明道學校財團法人明道大學,146,861309448,33400474,29256724,2000341,2143409,3.88,228770.37
105,私立,技專校院,1060,南開科技大學,198,717997058,102152942,87609631,13455311,1088000,14.23,515923.95
105,私立,技專校院,1061,中華學校財團法人中華科技大學,251,925552613,78355735,62195615,15060120,1100000,8.47,312174.24
105,私立,技專校院,1062,僑光科技大學,228,1206355788,89387715,74011378,13544900,1831437,7.41,392051.38
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,137,588964355,104342769,87846495,7550810,8945464,17.72,761626.05
105,私立,技專校院,1064,美和學校財團法人美和科技大學,241,839891520,84800217,75662587,6091780,3045850,10.10,351868.12
105,私立,技專校院,1065,吳鳳科技大學,159,691346053,54192748,44463715,8958848,770185,7.84,340834.89
